# काव्य खंड | 26
L-2 | दोहे | PE
L-4 | आह्वान | PE
L-7 | आज़ादी | PE
L-8 | चंद्रगहना से लौटती बेर | PE
L-14 | बूढ़ी पृथ्वी का दुख | PE
# अपठित काव्यांश | 4
T-1 | अपठित काव्यांश | PE
# गद्य खंड | 36
L-1 | बहादुर | PE
L-9 | अखबार की दुनिया | PE
L-13 | सुखी राजकुमार | PE
L-15 | अंधेर नगरी | PE
L-18 | नाखून क्यों बढ़ते हैं | PE
L-19 | शतरंज के खिलाड़ी | PE
# अपठित गद्यांश | 4
T-2 | अपठित गद्यांश | PE
# लेखन कौशल | 20
L-11 | सार कैसे लिखें | PE
L-21 | पत्र कैसे लिखें | PE
L-22 | निबंध कैसे लिखें | PE
# व्याकरण | 10
T-3 | विलोम शब्द | PE
T-4 | समास | PE
T-5 | संधि-विच्छेद | PE
T-6 | उपसर्ग और प्रत्यय | PE
T-7 | वाक्य | PE
T-8 | वाक्य शुद्धि | PE
T-9 | मुहावरे | PE
T-10 | शब्द-भंडार (तत्सम-तद्भव, देशज एवं विदेशी शब्द) | PE
