# निर्धारित काव्य पाठ | 25
L-2 | सगुण भक्तिकाव्य : तुलसीदास, सूरदास और मीराँबाई | PE
L-3 | रीतिकाव्य : बिहारी और पद्माकर | PE
L-5 | उत्तर छायावादी कविता : दिनकर और बच्चन | PE
L-7 | साठोत्तरी कविता : सर्वेश्वरदयाल सक्सेना और दुष्यंत कुमार | PE
L-8 | समकालीन कविता : आज की कविता : राजेश जोशी तथा नरेश सक्सेना | PE
# अपठित काव्यांश | 5
T-1 | अपठित काव्यांश | PE
# निर्धारित गद्य पाठ | 30
L-9 | चीफ़ की दावत : भीष्म साहनी | PE
L-10 | पीढ़ियाँ और गिट्टियाँ : हरिशंकर परसाई | PE
L-13 | सुभद्रा कुमारी चौहान : महादेवी वर्मा | PE
L-14 | कुटज : आचार्य हजारीप्रसाद द्विवेदी | PE
L-16 | रीढ़ की हड्डी : जगदीशचन्द्र माथुर | PE
L-17 | अंडमान डायरी : श्रीकांत शर्मा | PE
# अपठित गद्यांश | 5
T-2 | अपठित गद्यांश | PE
# लेखन कौशल | 25
L-20 | कार्यालयी पत्राचार | PE
L-21 | टिप्पण और प्रारूपण | PE
L-23 | हिंदी के विविध प्रयुक्ति-क्षेत्र | PE
L-24 | हिंदी और जनसंचार-माध्यम | PE
L-25 | हिंदी और प्रौद्योगिकी | PE
# व्याकरण | 10
T-3 | सर्वनाम | PE
T-4 | विशेषण | PE
T-5 | वाक्य | PE
T-6 | विलोम शब्द | PE
T-7 | वाक्य शुद्धि एवं शब्द शुद्धि | PE
T-8 | कारक | PE
T-9 | उपसर्ग और प्रत्यय | PE
T-10 | मुहावरे | PE
T-11 | समास | PE
T-12 | संधि | PE
T-13 | विराम चिह्न | PE
T-14 | वाक्य परिवर्तन | PE
